customer_id,initial_loan,days_since_last_loan,on_time_pct,n_increases_2023,total_profit,risk_state,risk_label,eligible,received,max_possible_increases,utilisation_rate,incremental_profit,pd_monthly,pd_annual,lgd,ead,el_per_increase,ev_per_increase
1001,1360,72,90.41,5,120,1,Near-Prime,1,1,1,0.191153589686597,120,0.015,0.19488759828622726,0.55,680.0,5.61,34.39
1002,4272,54,90.32,0,0,1,Near-Prime,0,0,0,0.8384085352300511,0,0.015,0.19488759828622726,0.55,2136.0,17.622,22.378
1003,3592,242,85.56,4,80,1,Near-Prime,1,1,4,0.6872638364080906,80,0.015,0.19488759828622726,0.55,1796.0,14.817,25.183
1004,966,301,95.86,0,0,0,Prime,1,0,5,0.1035785730162258,0,0.005,0.10563503279752744,0.55,483.0,1.3282500000000002,38.67175
1005,4926,352,94.8,0,0,1,Near-Prime,1,0,5,0.9837741720382308,0,0.015,0.19488759828622726,0.55,2463.0,20.319750000000003,19.680249999999997
1006,3944,214,84.68,4,80,2,Sub-Prime,1,1,3,0.7655034452100467,80,0.05,0.4043067291584016,0.55,1972.0,54.230000000000004,-14.230000000000004
1007,3671,14,86.4,0,0,1,Near-Prime,0,0,0,0.7048232940653478,0,0.015,0.19488759828622726,0.55,1835.5,15.142875,24.857125
1008,3419,146,95.77,0,0,0,Prime,1,0,2,0.6488108468548567,0,0.005,0.10563503279752744,0.55,1709.5,4.701125,35.298875
1009,630,143,87.15,0,0,1,Near-Prime,1,0,2,0.0288953100689042,0,0.015,0.19488759828622726,0.55,315.0,2.5987500000000003,37.40125
1010,2185,24,88.07,3,40,1,Near-Prime,0,1,0,0.3745276728161814,40,0.015,0.19488759828622726,0.55,1092.5,9.013125,30.986874999999998
1011,1269,98,87.29,0,0,1,Near-Prime,1,0,1,0.1709268726383641,0,0.015,0.19488759828622726,0.55,634.5,5.234625,34.765375
1012,2891,178,83.23,0,0,2,Sub-Prime,1,0,2,0.5314514336519226,0,0.05,0.4043067291584016,0.55,1445.5,39.751250000000006,0.24874999999999403
1013,2933,332,86.82,3,40,1,Near-Prime,1,1,5,0.5407868415203378,40,0.015,0.19488759828622726,0.55,1466.5,12.098625,27.901375
1014,1684,173,96.06,4,80,0,Prime,1,1,2,0.2631695932429428,80,0.005,0.10563503279752744,0.55,842.0,2.3155,37.6845
1015,3885,262,89.82,0,0,1,Near-Prime,1,0,4,0.7523894198710824,0,0.015,0.19488759828622726,0.55,1942.5,16.025625,23.974375
1016,4617,289,89.16,0,0,1,Near-Prime,1,0,4,0.9150922427206046,0,0.015,0.19488759828622726,0.55,2308.5,19.045125000000002,20.954874999999998
1017,3404,57,83.13,4,80,2,Sub-Prime,0,1,0,0.6454767726161369,80,0.05,0.4043067291584016,0.55,1702.0,46.80500000000001,-6.805000000000007
1018,974,333,83.55,0,0,2,Sub-Prime,1,0,5,0.105356745943543,0,0.05,0.4043067291584016,0.55,487.0,13.392500000000002,26.607499999999998
1019,1582,278,80.86,4,80,2,Sub-Prime,1,1,4,0.2404978884196488,80,0.05,0.4043067291584016,0.55,791.0,21.7525,18.2475
1020,3058,144,80.28,5,120,2,Sub-Prime,1,1,2,0.5685707935096688,120,0.05,0.4043067291584016,0.55,1529.0,42.04750000000001,-2.0475000000000065
1021,2547,121,89.76,3,40,1,Near-Prime,1,1,2,0.4549899977772838,40,0.015,0.19488759828622726,0.55,1273.5,10.506375,29.493625
1022,3247,26,88.18,5,120,1,Near-Prime,0,1,0,0.6105801289175372,120,0.015,0.19488759828622726,0.55,1623.5,13.393875000000001,26.606125
1023,1475,65,85.51,0,0,1,Near-Prime,1,0,1,0.2167148255167815,0,0.015,0.19488759828622726,0.55,737.5,6.0843750000000005,33.915625
1024,2306,100,99.8,0,0,0,Prime,1,0,1,0.4014225383418537,0,0.005,0.10563503279752744,0.55,1153.0,3.1707500000000004,36.82925
