customer_id,risk_label,eligible,max_possible_increases,scenario,x_recommended
1001,Near-Prime,1,1,base,1.0
1002,Near-Prime,0,1,base,0.0
1003,Near-Prime,1,1,base,1.0
1004,Prime,1,1,base,1.0
1005,Near-Prime,1,1,base,0.0
1006,Sub-Prime,1,1,base,0.0
1007,Near-Prime,0,1,base,0.0
1008,Prime,1,1,base,1.0
1009,Near-Prime,1,1,base,1.0
1010,Near-Prime,0,1,base,0.0
1011,Near-Prime,1,1,base,1.0
1012,Sub-Prime,1,1,base,0.0
1013,Near-Prime,1,1,base,1.0
1014,Prime,1,1,base,1.0
1015,Near-Prime,1,1,base,1.0
1016,Near-Prime,1,1,base,0.0
1017,Sub-Prime,0,1,base,0.0
1018,Sub-Prime,1,1,base,1.0
1019,Sub-Prime,1,1,base,1.0
1020,Sub-Prime,1,1,base,0.0
1021,Near-Prime,1,1,base,1.0
1022,Near-Prime,0,1,base,0.0
1023,Near-Prime,1,1,base,1.0
1024,Prime,1,1,base,1.0
1025,Near-Prime,1,1,base,1.0
1026,Prime,1,1,base,1.0
1027,Sub-Prime,1,1,base,0.0
1028,Sub-Prime,1,1,base,0.0
1029,Near-Prime,1,1,base,1.0
1030,Sub-Prime,0,1,base,0.0
1031,Sub-Prime,1,1,base,0.0
1032,Sub-Prime,1,1,base,0.0
1033,Sub-Prime,0,1,base,0.0
1034,Near-Prime,0,1,base,0.0
1035,Near-Prime,1,1,base,1.0
1036,Near-Prime,1,1,base,1.0
1037,Sub-Prime,1,1,base,1.0
1038,Prime,1,1,base,1.0
1039,Sub-Prime,1,1,base,0.0
1040,Near-Prime,1,1,base,1.0
1041,Prime,1,1,base,1.0
1042,Sub-Prime,1,1,base,0.0
1043,Sub-Prime,1,1,base,0.0
1044,Prime,1,1,base,1.0
1045,Near-Prime,1,1,base,1.0
1046,Near-Prime,1,1,base,1.0
1047,Near-Prime,1,1,base,1.0
1048,Sub-Prime,1,1,base,0.0
1049,Prime,1,1,base,1.0
1050,Sub-Prime,1,1,base,0.0
1051,Near-Prime,1,1,base,1.0
1052,Near-Prime,1,1,base,1.0
1053,Near-Prime,1,1,base,0.0
1054,Near-Prime,1,1,base,1.0
1055,Prime,0,1,base,0.0
1056,Prime,0,1,base,0.0
1057,Near-Prime,1,1,base,1.0
1058,Near-Prime,1,1,base,0.0
1059,Sub-Prime,1,1,base,1.0
1060,Near-Prime,1,1,base,1.0
1061,Sub-Prime,1,1,base,0.0
1062,Near-Prime,1,1,base,1.0
1063,Sub-Prime,1,1,base,1.0
1064,Near-Prime,1,1,base,1.0
1065,Near-Prime,1,1,base,0.0
1066,Prime,1,1,base,1.0
1067,Near-Prime,1,1,base,1.0
1068,Prime,1,1,base,1.0
1069,Near-Prime,1,1,base,1.0
1070,Prime,0,1,base,0.0
1071,Near-Prime,1,1,base,0.0
1072,Near-Prime,1,1,base,1.0
1073,Near-Prime,1,1,base,1.0
1074,Near-Prime,0,1,base,0.0
1075,Near-Prime,1,1,base,0.0
1076,Sub-Prime,1,1,base,1.0
1077,Near-Prime,1,1,base,1.0
1078,Sub-Prime,0,1,base,0.0
1079,Near-Prime,1,1,base,1.0
1080,Near-Prime,1,1,base,1.0
1081,Sub-Prime,1,1,base,1.0
1082,Sub-Prime,1,1,base,0.0
1083,Near-Prime,1,1,base,1.0
1084,Sub-Prime,1,1,base,0.0
1085,Near-Prime,0,1,base,0.0
1086,Sub-Prime,1,1,base,1.0
1087,Prime,1,1,base,1.0
1088,Prime,1,1,base,1.0
1089,Near-Prime,1,1,base,1.0
1090,Near-Prime,1,1,base,1.0
1091,Sub-Prime,1,1,base,0.0
1092,Prime,1,1,base,1.0
1093,Near-Prime,1,1,base,1.0
1094,Near-Prime,0,1,base,0.0
1095,Prime,0,1,base,0.0
1096,Prime,1,1,base,1.0
1097,Prime,1,1,base,1.0
1098,Prime,1,1,base,1.0
1099,Prime,1,1,base,1.0
1100,Prime,1,1,base,1.0
1101,Near-Prime,1,1,base,1.0
1102,Prime,1,1,base,1.0
1103,Near-Prime,0,1,base,0.0
1104,Near-Prime,1,1,base,1.0
1105,Near-Prime,0,1,base,0.0
1106,Near-Prime,1,1,base,0.0
1107,Near-Prime,1,1,base,1.0
1108,Prime,1,1,base,1.0
1109,Sub-Prime,1,1,base,0.0
1110,Prime,1,1,base,1.0
1111,Near-Prime,1,1,base,1.0
1112,Sub-Prime,1,1,base,0.0
1113,Prime,1,1,base,1.0
1114,Sub-Prime,1,1,base,0.0
1115,Prime,0,1,base,0.0
1116,Near-Prime,1,1,base,1.0
1117,Prime,1,1,base,1.0
1118,Sub-Prime,1,1,base,0.0
1119,Sub-Prime,1,1,base,0.0
1120,Prime,0,1,base,0.0
1121,Sub-Prime,1,1,base,0.0
1122,Prime,1,1,base,1.0
1123,Prime,0,1,base,0.0
1124,Sub-Prime,0,1,base,0.0
1125,Near-Prime,1,1,base,1.0
1126,Sub-Prime,1,1,base,0.0
1127,Near-Prime,1,1,base,1.0
1128,Near-Prime,0,1,base,0.0
1129,Near-Prime,1,1,base,1.0
1130,Prime,1,1,base,1.0
1131,Sub-Prime,1,1,base,1.0
1132,Near-Prime,1,1,base,0.0
1133,Near-Prime,1,1,base,0.0
1134,Sub-Prime,1,1,base,1.0
1135,Near-Prime,1,1,base,1.0
1136,Near-Prime,1,1,base,1.0
1137,Prime,1,1,base,1.0
1138,Near-Prime,0,1,base,0.0
1139,Near-Prime,1,1,base,1.0
1140,Near-Prime,1,1,base,0.0
1141,Prime,1,1,base,1.0
1142,Prime,1,1,base,1.0
1143,Near-Prime,1,1,base,1.0
1144,Near-Prime,1,1,base,1.0
1145,Near-Prime,1,1,base,1.0
1146,Near-Prime,0,1,base,0.0
1147,Near-Prime,0,1,base,0.0
1148,Prime,1,1,base,1.0
1149,Sub-Prime,1,1,base,1.0
1150,Near-Prime,1,1,base,1.0
1151,Sub-Prime,1,1,base,0.0
1152,Sub-Prime,1,1,base,1.0
1153,Near-Prime,0,1,base,0.0
1154,Prime,0,1,base,0.0
1155,Prime,1,1,base,1.0
1156,Near-Prime,1,1,base,1.0
1157,Near-Prime,1,1,base,1.0
1158,Prime,1,1,base,1.0
1159,Sub-Prime,1,1,base,0.0
1160,Sub-Prime,1,1,base,0.0
1161,Near-Prime,1,1,base,0.0
1162,Near-Prime,1,1,base,1.0
1163,Prime,1,1,base,1.0
1164,Prime,1,1,base,1.0
1165,Near-Prime,1,1,base,1.0
1166,Near-Prime,1,1,base,1.0
1167,Sub-Prime,1,1,base,0.0
1168,Near-Prime,1,1,base,1.0
1169,Prime,1,1,base,1.0
1170,Near-Prime,1,1,base,1.0
1171,Sub-Prime,1,1,base,1.0
1172,Near-Prime,1,1,base,0.0
1173,Near-Prime,1,1,base,1.0
1174,Near-Prime,1,1,base,1.0
1175,Near-Prime,1,1,base,1.0
1176,Prime,1,1,base,1.0
1177,Near-Prime,1,1,base,1.0
1178,Near-Prime,1,1,base,1.0
1179,Prime,1,1,base,1.0
1180,Prime,1,1,base,1.0
1181,Sub-Prime,1,1,base,0.0
1182,Near-Prime,1,1,base,1.0
1183,Near-Prime,1,1,base,1.0
1184,Sub-Prime,0,1,base,0.0
1185,Prime,1,1,base,1.0
1186,Sub-Prime,1,1,base,0.0
1187,Prime,0,1,base,0.0
1188,Sub-Prime,1,1,base,0.0
1189,Near-Prime,1,1,base,1.0
1190,Sub-Prime,0,1,base,0.0
1191,Near-Prime,0,1,base,0.0
1192,Sub-Prime,0,1,base,0.0
1193,Near-Prime,0,1,base,0.0
1194,Prime,1,1,base,1.0
1195,Sub-Prime,0,1,base,0.0
1196,Near-Prime,1,1,base,1.0
1197,Near-Prime,1,1,base,1.0
1198,Sub-Prime,1,1,base,0.0
1199,Sub-Prime,0,1,base,0.0
1200,Sub-Prime,0,1,base,0.0
1201,Near-Prime,0,1,base,0.0
1202,Prime,0,1,base,0.0
1203,Prime,1,1,base,1.0
1204,Prime,1,1,base,1.0
1205,Near-Prime,0,1,base,0.0
1206,Prime,0,1,base,0.0
1207,Near-Prime,1,1,base,1.0
1208,Near-Prime,1,1,base,1.0
1209,Near-Prime,1,1,base,0.0
1210,Sub-Prime,1,1,base,0.0
1211,Prime,1,1,base,1.0
1212,Sub-Prime,1,1,base,0.0
1213,Near-Prime,1,1,base,0.0
1214,Near-Prime,0,1,base,0.0
1215,Sub-Prime,1,1,base,0.0
1216,Near-Prime,1,1,base,1.0
1217,Near-Prime,1,1,base,1.0
1218,Prime,1,1,base,1.0
1219,Near-Prime,1,1,base,1.0
1220,Near-Prime,1,1,base,0.0
1221,Sub-Prime,1,1,base,0.0
1222,Near-Prime,1,1,base,1.0
1223,Sub-Prime,0,1,base,0.0
1224,Prime,1,1,base,1.0
1225,Sub-Prime,1,1,base,1.0
1226,Near-Prime,1,1,base,0.0
1227,Near-Prime,1,1,base,1.0
1228,Near-Prime,1,1,base,0.0
1229,Near-Prime,1,1,base,1.0
1230,Prime,0,1,base,0.0
1231,Sub-Prime,1,1,base,1.0
1232,Near-Prime,1,1,base,1.0
1233,Near-Prime,1,1,base,0.0
1234,Near-Prime,1,1,base,1.0
1235,Sub-Prime,1,1,base,0.0
1236,Near-Prime,1,1,base,1.0
1237,Prime,1,1,base,1.0
1238,Near-Prime,1,1,base,1.0
1239,Sub-Prime,1,1,base,0.0
1240,Sub-Prime,1,1,base,0.0
1241,Sub-Prime,1,1,base,1.0
1242,Sub-Prime,1,1,base,0.0
1243,Near-Prime,1,1,base,1.0
1244,Near-Prime,1,1,base,1.0
1245,Prime,0,1,base,0.0
1246,Prime,1,1,base,1.0
1247,Near-Prime,1,1,base,1.0
1248,Prime,1,1,base,1.0
